Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_COUNT		1,682
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_LOW_RISK_LOC		4,271
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_LOW_RISK_PERCENTAGE		19.47
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_LOW_RISK_COUNT		156
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_MEDIUM_RISK_LOC		3,607
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_MEDIUM_RISK_PERCENTAGE		16.45
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_MEDIUM_RISK_COUNT		76
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_HIGH_RISK_LOC		1,410
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_HIGH_RISK_PERCENTAGE		6.43
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_HIGH_RISK_COUNT		16
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_VERY_HIGH_RISK_LOC		410
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_VERY_HIGH_RISK_PERCENTAGE		1.87
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_VERY_HIGH_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_NEGLIGIBLE_RISK_LOC		2,821
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_NEGLIGIBLE_RISK_PERCENTAGE		34.67
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_NEGLIGIBLE_RISK_COUNT		238
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_LOW_RISK_LOC		2,458
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_LOW_RISK_PERCENTAGE		30.21
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_LOW_RISK_COUNT		71
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_MEDIUM_RISK_LOC		2,015
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_MEDIUM_RISK_PERCENTAGE		24.76
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_MEDIUM_RISK_COUNT		33
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_HIGH_RISK_LOC		843
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_HIGH_RISK_PERCENTAGE		10.36
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_HIGH_RISK_COUNT		7
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		21
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		46.67
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		24
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		53.33
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PY_NEGLIGIBLE_RISK_LOC		15,198
CONDITIONAL_COMPLEXITY_COMPONENT_PY_NEGLIGIBLE_RISK_PERCENTAGE		49.99
CONDITIONAL_COMPLEXITY_COMPONENT_PY_NEGLIGIBLE_RISK_COUNT		1,935
CONDITIONAL_COMPLEXITY_COMPONENT_PY_LOW_RISK_LOC		6,831
CONDITIONAL_COMPLEXITY_COMPONENT_PY_LOW_RISK_PERCENTAGE		22.47
CONDITIONAL_COMPLEXITY_COMPONENT_PY_LOW_RISK_COUNT		231
CONDITIONAL_COMPLEXITY_COMPONENT_PY_MEDIUM_RISK_LOC		5,713
CONDITIONAL_COMPLEXITY_COMPONENT_PY_MEDIUM_RISK_PERCENTAGE		18.79
CONDITIONAL_COMPLEXITY_COMPONENT_PY_MEDIUM_RISK_COUNT		111
CONDITIONAL_COMPLEXITY_COMPONENT_PY_HIGH_RISK_LOC		2,253
CONDITIONAL_COMPLEXITY_COMPONENT_PY_HIGH_RISK_PERCENTAGE		7.41
CONDITIONAL_COMPLEXITY_COMPONENT_PY_HIGH_RISK_COUNT		23
CONDITIONAL_COMPLEXITY_COMPONENT_PY_VERY_HIGH_RISK_LOC		410
CONDITIONAL_COMPLEXITY_COMPONENT_PY_VERY_HIGH_RISK_PERCENTAGE		1.35
CONDITIONAL_COMPLEXITY_COMPONENT_PY_VERY_HIGH_RISK_COUNT		3
FILE_CHANGE_HISTORY_TOTAL_AGE_DAYS		3,359
FILE_CHANGE_HISTORY_ACTIVE_DAYS		872
FILE_CHANGE_HISTORY_WEEKS		477
FILE_CHANGE_HISTORY_ESTIMATED_WORKING_DAYS		2,385
FILE_AGE_NEGLIGIBLE_RISK_COUNT		70
FILE_AGE_LOW_RISK_COUNT		69
FILE_AGE_MEDIUM_RISK_COUNT		153
FILE_AGE_HIGH_RISK_COUNT		173
FILE_AGE_VERY_HIGH_RISK_COUNT		185
FILE_AGE_NEGLIGIBLE_RISK_LOC		11,128
FILE_AGE_LOW_RISK_LOC		7,711
FILE_AGE_MEDIUM_RISK_LOC		17,986
FILE_AGE_HIGH_RISK_LOC		11,217
FILE_AGE_VERY_HIGH_RISK_LOC		10,271
NUMBER_OF_CONTRIBUTORS		35
DUPLICATION_NUMBER_OF_DUPLICATES		1,137
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		183
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		15,834
DUPLICATION_NUMBER_OF_CLEANED_LINES		54,829
DUPLICATION_PERCENTAGE		28.88
UNIT_DUPLICATES_COUNT		4
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ZEEGUU		8,711
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ZEEGUU		8,711
DUPLICATION_PERCENTAGE_PRIMARY_ZEEGUU		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_TOOLS		7,063
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_TOOLS		7,063
DUPLICATION_PERCENTAGE_PRIMARY_TOOLS		100
